Kind,Name,CountClassCoupled,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,CountClassBase,CountClassDerived,MaxInheritanceTree,CountDeclClass,CountDeclInstanceMethod,CountLineCode,CountLineComment
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.test_getQuantidadeReservas",,,,1,1,0,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.ReservaDAOTest.test_updateReservaEmCurso",,,,1,1,0,,,,,,7,0
Public Class,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest",4,16,1,7,,1,1,0,1,,6,35,4
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.SalaDAOTest",,,,1,1,0,,,,,,2,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.cadastrarSala",,,,2,1,1,,,,,,9,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_getQuantidadeSalas",,,,1,1,0,,,,,,4,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_getSalaDisponiveis",,,,1,1,0,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_getStatusDaSala",,,,1,1,0,,,,,,6,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.SalaDAOTest.test_whichSalaAreVaga",,,,1,1,0,,,,,,5,0
Public Class,"br.edu.utfpr.biblioteca.salas.dao.StatusDAOTest",3,0,1,3,,1,1,0,1,,2,10,4
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.StatusDAOTest.StatusDAOTest",,,,1,1,0,,,,,,2,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.StatusDAOTest.criar",,,,2,1,1,,,,,,6,0
Public Class,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest",6,60,1,6,,1,1,0,1,,5,29,3
Public Constructor,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.UsuarioDAOTest",,,,1,1,0,,,,,,2,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.cadastrar",,,,2,1,1,,,,,,9,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.test_ReservaEmCurso",,,,1,1,0,,,,,,7,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.test_autenticar",,,,1,1,0,,,,,,4,0
Public Method,"br.edu.utfpr.biblioteca.salas.dao.UsuarioDAOTest.test_usuarioCadastrado",,,,1,1,0,,,,,,4,0
