Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclClass,CountDeclInstanceMethod
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getUsuario",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.getUsuarioLogado",,,1,1,0,,,,,3,5,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.isLogado",,,2,1,1,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.LoginMB.setUsuario",,,1,1,0,,,,,3,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB",80,1,22,,1,1,0,1,3,89,0,,14
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.RelatorioMB",,,1,1,0,,,,,4,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.exibirBotaoDownloadRelatorio",,,2,1,1,,,,,6,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.fileDownloadView",,,3,1,1,,,,,13,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.gerarRelatorio",,,3,1,1,,,,,14,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getDataFinal",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getDataInicial",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getFile",,,3,3,1,,,,,12,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getTipoRelatorio",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.getUrlDonwload",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.isAdministradorLoggedIn",,,2,1,1,,,,,7,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setDataFinal",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setDataInicial",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setTipoRelatorio",,,1,1,0,,,,,3,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.RelatorioMB.setUrlDonwload",,,1,1,0,,,,,3,0,,
Public Class,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB",85,1,36,,2,1,0,2,7,158,42,,22
Public Constructor,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.ReservaRapidaMB",,,1,1,0,,,,,8,0,,
Public Method,"br.edu.utfpr.biblioteca.salas.controller.ReservaRapidaMB.alterarEstilo",,,2,1,1,,,,,8,0,,
